name,ring,quadrant,isNew,description
S3,Adopt,Data Management,No,"<a href=""https://aws.amazon.com/s3/"">Amazon S3</a> or Amazon Simple Storage Service is a service offered by AWS that provides object storage through a web service interface."
FEAST,Adopt,Data Management,Yes,"<a href=""https://feast.dev/"">Feast</a> is an open-source feature store."
scikit-learn,Adopt,Data Management,No,"<a href=""https://scikit-learn.org/stable/"">Scikit-learn</a> is a free software machine learning library for the Python programming language."
alibi-detect,Adopt,Data Management,Yes,"<a href=""https://docs.seldon.io/projects/alibi-detect/en/stable/"">Alibi Detect</a> is an open source Python library focused on outlier, adversarial and drift detection."
scikit-multiflow,Adopt,Data Management,Yes,"<a href=""https://scikit-multiflow.github.io/"">scikit-multiflow</a> is a machine learning package for streaming data in Python."
LightGBM,Adopt,Data Management,No,"<a href=""https://lightgbm.readthedocs.io/en/latest/"">LightGBM</a>, short for Light Gradient Boosting Machine, is a free and open source distributed gradient boosting framework for machine learning."
Grafana,Adopt,Data Management,Yes,"<a href=""https://grafana.com/"">Grafana</a> is a multi-platform open source analytics and interactive visualization web application."
Superset,Hold,Data Management,No,"<a href=""https://superset.apache.org/"">Apache Superset</a> is an open-source software cloud-native application for data exploration and data visualization able to handle data at petabyte scale. "
EKS,Adopt,Platform,No,"<a href=""https://aws.amazon.com/eks/"">Amazon Elastic Kubernetes Service (EKS) is a managed Kubernetes service from AWS, and it's used as the foundation for our <b>Nucleon</b> platform"
React.js,Adopt,Languages & Frameworks,No,The main framework to build frontend applications at Creditas
React Native,Adopt,Languages & Frameworks,No,The main framework to build mobile applications at Creditas
GKE,Hold,Platform,Yes,"A Kubernetes service managed by Google Cloud, used on Bcredi's services ecosystem"
Ambassador,Hold,Platform,Yes,An API Gateway used on Bcredi's services ecosystem
RabbitMQ,Hold,Platform,Yes,RabbitMQ is an open source message broker used on Bcredi's services ecosystem to communication between services
KeyCloak,Hold,Platform,Yes,Keycloak is an open source identity and access management solution used on Bcredi's services ecosystem
Linkerd,Hold,Platform,Yes,"Linkerd is a service mesh for Kubernetes used on Bcredi's services ecosystem to makes running services easier and safer by giving runtime debugging, observability, reliability, and security, all without requiring any changes to the code."
Google Cloud SQL (PostgreSQL),Hold,Data Management,Yes,"PostgreSQL database service managed by Google Cloud, used on Bcredi's services ecosystem"
Sendgrid,Hold,Platform,Yes,"E-mail service provider, it was used on Bcredi's services ecosystem to sends e-mails to customers"
InfoBip,Hold,Platform,Yes,"SMS service provider, it was used on Bcredi's services ecosystem to sends SMS to customers"
Salesforce Creditas,Assess,Platform,Yes,Salesforce at Creditas still being implemented
Salesforce Bcredi,Hold,Platform,Yes,The main backoffice tool for Bcredi operations
Ruby,Adopt,Languages & Frameworks,No,Core & External Data & Servicing & Authentication & AutoFin Backend systems
Sidekiq,Adopt,Languages & Frameworks,No,Message system for ruby components. This is default option
BFF,Adopt,Languages & Frameworks,No,Backend end for frontend. Mobile and backoffice system uses this pattern to call our domain / components apis
Apollo,Adopt,Languages & Frameworks,No,Framework to implement BFF as GraphQL
GraphQL,Adopt,Languages & Frameworks,No,Pattern to expose API into a BFF
RDS - Postgres,Adopt,Data Management,No,PostgreSQL database service managed by AWS. Used in most of Creditas components
Mongo Atlas,Adopt,Data Management,No,Mongo managed database by Atlas service. Used in some components of creditas
AWS Lambda,Hold,Platform,No,Not supported by Nuclen / Cliditas. Used in most Product Hacking systems.
Camunda,Adopt,Platform,No,BPMS engine to support statefull workflows.
Drools,Assess,Platform,Yes,BREs engine to support business rules strategy. It's been assessed by the Store team.
Opsgenie,Adopt,Platform,No,Incident and alerting managing tool
Rails,Adopt,Languages & Frameworks,No,Web framework for ruby components. This is the default choice
Hanami,Hold,Languages & Frameworks,No,Web framework for ruby components. Used only on core.
Spring,Adopt,Languages & Frameworks,No,Web and DI framework for kotlin components. This should be the default option.
Typescript,Adopt,Languages & Frameworks,No,used in frontend and BFF applications. This should be the default option.
Docker,Adopt,Platform,No,"Doc - Docker is an open platform for developing, shipping, and running applications. With Docker, you can manage your infrastructure in the same ways you manage your applications."
Docker Compose,Adopt,Platform,No,"Doc - Compose is a tool for defining and running multi-container Docker applications. With Compose, you use a YAML file to configure your application’s services."
Dbeaver,Adopt,Dev Tools,No,Doc - DBeaver is a universal database management tool for everyone who needs to work with data in a professional way.
Visual Studio Code,Adopt,Dev Tools,No,"Doc - Visual Studio Code is a lightweight but powerful source code editor which runs on your desktop and is available for Windows, macOS and Linux. "
aws-vault,Adopt,Platform,No,Doc - AWS Vault is a tool to securely store and access AWS credentials in a development environment.
AWS Glue,Adopt,Data Management,No,"Doc - AWS Glue is a serverless data integration service that makes it easy to discover, prepare, and combine data for analytics, machine learning, and application development."
Redash,Adopt,Data Management,No,Doc - Redash is an open source business intelligence web application
Metabase,Adopt,Data Management,No,Doc - Metabase is a simple and powerful analytics tool which lets anyone learn and make decisions from their company’s data
Tableau,Adopt,Data Management,No,Doc - Tableau is a visual analytics platform that want to transform the way people use data to solve problems.
AWS EMR Studio,Adopt,Data Management,No,"Doc - EMR Studio is an integrated development environment (IDE) that makes it easy for data scientists and data engineers to develop, visualize, and debug data engineering and data science applications written in R, Python, Scala, and PySpark."
